analysis_set,scale_seconds,comparison,candidate,baseline,family,metric,candidate_score,baseline_score,delta,bootstrap_resamples,ci_low,ci_high,positive_fraction
sensitivity_validation_300,300.0,local_vs_pitch,local,pitch,local fusion vs single view,macro_f1,0.9415652173913043,0.9330357142857143,0.008529503105589975,1000,-0.01661550985361071,0.03457531769255836,0.769
sensitivity_validation_300,300.0,local_vs_pitch,local,pitch,local fusion vs single view,macro_auroc_ovr,0.9908333333333332,0.9855555555555555,0.005277777777777715,1000,-0.003333333333333302,0.017222222222222142,0.864
sensitivity_validation_300,300.0,local_vs_pitch,local,pitch,local fusion vs single view,macro_auprc,0.9912390778036058,0.9863196517911155,0.004919426012490291,1000,-0.003136425043538471,0.01576671254036164,0.87
sensitivity_validation_300,300.0,local_vs_rhythm,local,rhythm,local fusion vs single view,balanced_accuracy,0.9416666666666667,0.7083333333333333,0.2333333333333334,1000,0.14166666666666672,0.31666666666666665,1.0
sensitivity_validation_300,300.0,local_vs_rhythm,local,rhythm,local fusion vs single view,macro_f1,0.9415652173913043,0.70486965076242,0.23669556662888425,1000,0.14508037949519892,0.32433920872654376,1.0
sensitivity_validation_300,300.0,local_vs_rhythm,local,rhythm,local fusion vs single view,macro_auroc_ovr,0.9908333333333332,0.81,0.18083333333333318,1000,0.11360416666666655,0.2597430555555555,1.0
sensitivity_validation_300,300.0,local_vs_rhythm,local,rhythm,local fusion vs single view,macro_auprc,0.9912390778036058,0.8051403290300471,0.1860987487735587,1000,0.11230756120752969,0.2622836724925843,1.0
sensitivity_validation_300,300.0,local_vs_modulation,local,modulation,local fusion vs single view,balanced_accuracy,0.9416666666666667,0.7,0.2416666666666667,1000,0.1499999999999999,0.3335416666666665,1.0
sensitivity_validation_300,300.0,local_vs_modulation,local,modulation,local fusion vs single view,macro_f1,0.9415652173913043,0.6986607142857143,0.24290450310558998,1000,0.14992575002279038,0.33777951267203743,1.0
sensitivity_validation_300,300.0,local_vs_modulation,local,modulation,local fusion vs single view,macro_auroc_ovr,0.9908333333333332,0.7238888888888889,0.2669444444444443,1000,0.17993749999999994,0.3591805555555557,1.0
sensitivity_validation_300,300.0,local_vs_modulation,local,modulation,local fusion vs single view,macro_auprc,0.9912390778036058,0.7244645663369573,0.26677451146664843,1000,0.17920070248639305,0.3469429622170614,1.0
sensitivity_validation_300,300.0,add_pitch,local,rhythm_modulation,leave-one-view-out,balanced_accuracy,0.9416666666666667,0.7583333333333333,0.18333333333333335,1000,0.09999999999999998,0.275,1.0
sensitivity_validation_300,300.0,add_pitch,local,rhythm_modulation,leave-one-view-out,macro_f1,0.9415652173913043,0.7579130434782608,0.18365217391304345,1000,0.1002440124245392,0.2760043436710511,1.0
sensitivity_validation_300,300.0,add_pitch,local,rhythm_modulation,leave-one-view-out,macro_auroc_ovr,0.9908333333333332,0.86,0.13083333333333325,1000,0.0694097222222223,0.19944444444444442,1.0
sensitivity_validation_300,300.0,add_pitch,local,rhythm_modulation,leave-one-view-out,macro_auprc,0.9912390778036058,0.8581540982452104,0.13308497955839538,1000,0.06803355272771405,0.19837174179083236,1.0
sensitivity_validation_300,300.0,add_rhythm,local,pitch_modulation,leave-one-view-out,balanced_accuracy,0.9416666666666667,0.9416666666666667,0.0,1000,-0.033333333333333326,0.033333333333333326,0.394
sensitivity_validation_300,300.0,add_rhythm,local,pitch_modulation,leave-one-view-out,macro_f1,0.9415652173913043,0.9414674935544561,9.772383684814034e-05,1000,-0.03341687552213868,0.03373301769576063,0.525
sensitivity_validation_300,300.0,add_rhythm,local,pitch_modulation,leave-one-view-out,macro_auroc_ovr,0.9908333333333332,0.9883333333333333,0.0024999999999999467,1000,-0.006388888888888999,0.013333333333333308,0.684
sensitivity_validation_300,300.0,add_rhythm,local,pitch_modulation,leave-one-view-out,macro_auprc,0.9912390778036058,0.9889022552523834,0.0023368225512223617,1000,-0.005967441789307706,0.012254276042079794,0.691
sensitivity_validation_300,300.0,add_modulation,local,pitch_rhythm,leave-one-view-out,balanced_accuracy,0.9416666666666667,0.95,-0.008333333333333304,1000,-0.025000000000000026,0.0,0.0
sensitivity_validation_300,300.0,add_modulation,local,pitch_rhythm,leave-one-view-out,macro_f1,0.9415652173913043,0.949874686716792,-0.008309469325487706,1000,-0.024984365228267746,0.0,0.0
sensitivity_validation_300,300.0,add_modulation,local,pitch_rhythm,leave-one-view-out,macro_auroc_ovr,0.9908333333333332,0.9875,0.0033333333333331883,1000,-0.0041736111111112025,0.012499999999999959,0.773
sensitivity_validation_300,300.0,add_modulation,local,pitch_rhythm,leave-one-view-out,macro_auprc,0.9912390778036058,0.9880570066861183,0.0031820711174874727,1000,-0.003935581849452713,0.011522473693239353,0.789
sensitivity_validation_300,300.0,add_structure,hierarchical,local,hierarchical increment,balanced_accuracy,0.9416666666666667,0.9416666666666667,0.0,1000,0.0,0.0,0.0
sensitivity_validation_300,300.0,add_structure,hierarchical,local,hierarchical increment,macro_f1,0.9415652173913043,0.9415652173913043,0.0,1000,0.0,0.0,0.0
sensitivity_validation_300,300.0,add_structure,hierarchical,local,hierarchical increment,macro_auroc_ovr,0.9836111111111111,0.9908333333333332,-0.00722222222222213,1000,-0.018618055555555683,0.0016666666666665941,0.059
sensitivity_validation_300,300.0,add_structure,hierarchical,local,hierarchical increment,macro_auprc,0.9842594169314759,0.9912390778036058,-0.006979660872129867,1000,-0.017590781820171854,0.0015617675296351302,0.059
