role,comparison,split,scale_seconds,representation,metric,n_focus,n_comparator,focus_median,comparator_median,rank_biserial_focus_minus_comparator,p_value,p_fdr_bh,effect_300,scale_spearman,direction_agreement,eligible,selection_score,selected
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h1_prominent_count,24,24,1.0,1.0,0.16666666666666674,0.3030041889080719,0.815780508598655,0.17708333333333326,0.29256026022380627,True,False,0.0487600433706344,False
exploration,focus_vs_pop,discovery,180.0,chroma,h1_count,24,24,4.5,4.0,0.09548611111111116,0.5711725626375389,0.8898776205621819,0.19618055555555558,0.49714849338598494,True,False,0.04747077627817567,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h0_total_persistence,24,24,12.61545380949974,12.931466296315193,-0.07638888888888884,0.6575324631990798,0.9042924810201319,-0.45486111111111116,0.6148948485433148,True,False,0.04697113426372541,False
exploration,focus_vs_pop,discovery,180.0,onset_delay,h1_total_persistence,24,24,0.24691052734851837,0.17911355197429657,0.12152777777777768,0.4768500218436187,0.8898776205621819,0.15277777777777768,0.3292627043976611,True,False,0.04001456477054906,False
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h1_total_persistence,24,24,0.28831303119659424,0.2994491457939148,0.09375,0.5847767220837196,0.8898776205621819,0.3055555555555556,0.414303170621905,True,False,0.0388409222458036,False
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h1_mean_persistence,24,24,0.05534516200423241,0.055585734014000215,-0.11805555555555558,0.48971740875937286,0.8898776205621819,-0.01388888888888884,0.32658048749115703,True,False,0.038554640884372715,False
exploration,focus_vs_pop,discovery,180.0,onset_delay,h1_persistence_entropy,24,24,0.8428720593787824,0.7925113433330342,0.3506944444444444,0.03821883029745144,0.30412005956679294,0.078125,0.10780253683549235,True,False,0.037805750765224744,False
exploration,focus_vs_pop,discovery,180.0,rhythm,h1_max_persistence,24,24,0.10882443189620972,0.09787184000015259,0.09375,0.5847767220837196,0.8898776205621819,0.13194444444444442,0.3865843462602097,True,False,0.03624228246189466,False
exploration,focus_vs_pop,discovery,180.0,modulation,h1_total_persistence,24,24,0.09060782194137573,0.10326212644577026,-0.11458333333333337,0.5023631472933511,0.8898776205621819,0.21354166666666674,0.3123707818450432,False,False,0.035792485419744544,False
exploration,focus_vs_pop,discovery,180.0,modulation,h0_total_persistence,24,24,8.257841549813747,8.225104274228215,-0.05555555555555558,0.749268076764465,0.9201537784826763,-0.11805555555555558,0.6111647051257315,True,False,0.03395359472920732,False
exploration,focus_vs_pop,discovery,180.0,modulation,h1_mean_persistence,24,24,0.03540992736816406,0.046003962556521096,-0.14583333333333337,0.39170494208626994,0.8898776205621819,0.16493055555555558,0.22950740868639616,False,False,0.03346983043343278,False
exploration,focus_vs_pop,discovery,180.0,onset_delay,h1_count,24,24,4.0,4.0,0.11631944444444442,0.49113061153265014,0.8898776205621819,0.16319444444444442,0.28570427021603473,True,False,0.03323296198693459,False
exploration,focus_vs_pop,discovery,180.0,modulation,h0_q75_persistence,24,24,0.417982317507267,0.4014751687645912,0.04861111111111116,0.7807319473938321,0.926292140975733,0.07986111111111116,0.6200077175381055,True,False,0.030139264046991267,False
